id,name,content,evaluation,checkpoint_type
24,"Khả năng làm việc trong dự án","Khả năng làm việc trong dự án Ability to work in project ",0,"subleader"
25,"Khả năng làm việc với dự án khác","Khả năng làm việc với dự án khác Ability to work in other projects ",0,"subleader"
26,"Khả năng làm việc với khách hàng","Khả năng làm việc với khách hàng Ability to work with customers",0,"subleader"
27,"Chất lượng công việc","Chất lượng công việc Quality of work",0,"subleader"
28,"Thời hạn hoàn thành công việc","Thời hạn hoàn thành công việc Deadline",0,"subleader"
29,"Đi làm đúng giờ","Đi làm đúng giờ Working on time",0,"subleader"
30,"Tuân thủ quy trình","Tuân thủ quy trình Process compliance",0,"subleader"
31,"Tính kỷ luật trong công việc, chấp hành yêu cầu của cấp trên, quy định chung của nhóm và Công ty","Tính kỷ luật trong công việc, chấp hành yêu cầu của cấp trên, quy định chung của nhóm và Công ty Discipline in work. Manager/Leader's requirements, Group/Company's general regulations implementation.",0,"subleader"
32,"Bạn đánh giá như thế nào về trình độ chuyên môn, kỹ thuật của mình?","Bạn đánh giá như thế nào về trình độ chuyên môn, kỹ thuật của mình? How do you evaluate about your technical skills?",0,"subleader"
33,"Kế hoạch bạn đưa ra để nâng cao trình độ chuyên môn, kỹ thuật của mình là gì?","Kế hoạch bạn đưa ra để nâng cao trình độ chuyên môn, kỹ thuật của mình là gì? What will you do to improve your technical skill?",0,"subleader"
34,"Bạn biết những ngoại ngữ nào? Bạn đánh giá như thế nào về trình độ ngoại ngữ của mình?","Bạn biết những ngoại ngữ nào? Bạn đánh giá như thế nào về trình độ ngoại ngữ của mình? How many language you can use? How do you evaluate about your foreign language? ",0,"subleader"
35,"Kế hoạch bạn đưa ra để nâng cao trình độ ngoại ngữ của mình là gì?","Kế hoạch bạn đưa ra để nâng cao trình độ ngoại ngữ của mình là gì? What will you do to improve your foreign language skill?",0,"subleader"
36,"Bạn có thường xuyên tham gia buổi seminar meeting của Công ty không?","Bạn có thường xuyên tham gia buổi seminar meeting của Công ty không? Do you offten attend seminar meeting of the Company?",0,"subleader"
37,"Bạn từng thuyết trình bao nhiêu lần trong buổi seminar meeting của Công ty?","Bạn từng thuyết trình bao nhiêu lần trong buổi seminar meeting của Công ty? How many time have you ever presented in Company's seminar meeting?",0,"subleader"
38,"Bạn đặt ra những mục tiêu gì trong 3 tháng tiếp theo?","Bạn đặt ra những mục tiêu gì trong 3 tháng tiếp theo? What are your short-term goals in the next 3 months?",1,"subleader"
39,"Kế hoạch, hành động bạn đưa ra để đạt được những mục tiêu đó là gì?","Kế hoạch, hành động bạn đưa ra để đạt được những mục tiêu đó là gì? What will you do to reach these goals?",1,"subleader"
40,"Kế hoạch dài hạn trong năm tiếp theo của bạn là gì?","Kế hoạch dài hạn trong năm tiếp theo của bạn là gì? What are your long-term goals in the next year?",1,"subleader"
41,"Kế hoạch, hành động bạn đưa ra để đạt được những mục tiêu dài hạn đó là gì?","Kế hoạch, hành động bạn đưa ra để đạt được những mục tiêu dài hạn đó là gì? What will you do to reach these goals?",1,"subleader"
42,"Đánh gía tổng thể","Đánh gía tổng thể - Overall evaluation",0,"subleader"
43,"Bạn có ý thức trách nhiệm đối với lợi ích chung của dự án, công ty và khách hàng chưa?","Bạn có ý thức trách nhiệm đối với lợi ích chung của dự án, công ty và khách hàng chưa? Did you have the responsibility for the common benefit of the project, company and customers?",0,"member"
44,"Bạn có ý thức vượt qua khó khăn trong công việc, khắc phục những khó khăn về vấn đề cá nhân chưa?","Bạn có ý thức vượt qua khó khăn trong công việc, khắc phục những khó khăn về vấn đề cá nhân chưa? Did you have consciousness to overcome difficulties in work and personal issues?",0,"member"
45,"Khả năng làm việc trong dự án","Khả năng làm việc trong dự án Ability to work in project ",0,"member"
46,"Khả năng làm việc với dự án khác","Khả năng làm việc với dự án khác Ability to work in other projects ",0,"member"
47,"Khả năng làm việc với khách hàng","Khả năng làm việc với khách hàng Ability to work with customers",0,"member"
48,"Chất lượng công việc","Chất lượng công việc Quality of work",0,"member"
49,"Thời hạn hoàn thành công việc","Thời hạn hoàn thành công việc Deadline",0,"member"
50,"Đi làm đúng giờ","Đi làm đúng giờ Working on time",0,"member"
51,"Tuân thủ quy trình","Tuân thủ quy trình Process compliance",0,"member"
52,"Tính kỷ luật trong công việc, chấp hành yêu cầu của cấp trên, quy định chung của nhóm và Công ty","Tính kỷ luật trong công việc, chấp hành yêu cầu của cấp trên, quy định chung của nhóm và Công ty Discipline in work. Manager/Leader's requirements, Group/Company's general regulations implementation.",0,"member"
53,"Bạn đánh giá như thế nào về trình độ chuyên môn, kỹ thuật của mình?","Bạn đánh giá như thế nào về trình độ chuyên môn, kỹ thuật của mình? How do you evaluate about your technical skills?",0,"member"
54,"Kế hoạch bạn đưa ra để nâng cao trình độ chuyên môn, kỹ thuật của mình là gì?","Kế hoạch bạn đưa ra để nâng cao trình độ chuyên môn, kỹ thuật của mình là gì? What will you do to improve your technical skill?",0,"member"
55,"Bạn biết những ngoại ngữ nào? Bạn đánh giá như thế nào về trình độ ngoại ngữ của mình?","Bạn biết những ngoại ngữ nào? Bạn đánh giá như thế nào về trình độ ngoại ngữ của mình? How many language you can use? How do you evaluate about your foreign language? ",0,"member"
56,"Kế hoạch bạn đưa ra để nâng cao trình độ ngoại ngữ của mình là gì?","Kế hoạch bạn đưa ra để nâng cao trình độ ngoại ngữ của mình là gì? What will you do to improve your foreign language skill?",0,"member"
57,"Bạn có thường xuyên tham gia buổi seminar meeting của Công ty không?","Bạn có thường xuyên tham gia buổi seminar meeting của Công ty không? Do you offten attend seminar meeting of the Company?",0,"member"
58,"Bạn từng thuyết trình bao nhiêu lần trong buổi seminar meeting của Công ty?","Bạn từng thuyết trình bao nhiêu lần trong buổi seminar meeting của Công ty? How many time have you ever presented in Company's seminar meeting?",0,"member"
59,"Bạn đặt ra những mục tiêu gì trong 3 tháng tiếp theo?","Bạn đặt ra những mục tiêu gì trong 3 tháng tiếp theo? What are your short-term goals in the next 3 months?",1,"member"
60,"Kế hoạch, hành động bạn đưa ra để đạt được những mục tiêu đó là gì?","Kế hoạch, hành động bạn đưa ra để đạt được những mục tiêu đó là gì? What will you do to reach these goals?",1,"member"
61,"Kế hoạch dài hạn trong năm tiếp theo của bạn là gì?","Kế hoạch dài hạn trong năm tiếp theo của bạn là gì? What are your long-term goals in the next year?",1,"member"
62,"Kế hoạch, hành động bạn đưa ra để đạt được những mục tiêu dài hạn đó là gì?","Kế hoạch, hành động bạn đưa ra để đạt được những mục tiêu dài hạn đó là gì? What will you do to reach these goals?",1,"member"
63,"Đánh gía tổng thể","Đánh gía tổng thể - Overall evaluation",0,"member"
